generated_at,player,team,goal_share,expected_matches,expected_goals
2026-06-11,Pablo García,Uruguay,6.366481089705933e-05,4.882,0.0004814683324364
2026-06-11,Salif Diao,Senegal,7.527149937495971e-05,4.324,0.0004796325962334
2026-06-11,Abdessalam Benjelloun,Morocco,5.889412402493797e-05,5.138400000000001,0.0004788490475679
2026-06-11,Vladimír Šmicer,Czech Republic,9.847578435334072e-05,3.7328,0.0004781485595531
2026-06-11,José Filipe Correia Semedo,Cape Verde,0.0001307584233444,3.392,0.0004768362858352
2026-06-11,Rubén de la Red,Spain,2.9487876417017543e-05,6.1792,0.000476793293864
2026-06-11,Nabil Taïder,Tunisia,0.0001121506590736,3.709,0.000476194117888
2026-06-11,Louis Saha,France,4.0895539519156944e-05,5.4928,0.0004754318409966
2026-06-11,Tatsuya Tanaka,Japan,5.076549931532051e-05,4.9164,0.0004745852142741
2026-06-11,Hamad Al-Montashari,Saudi Arabia,0.0001435642186239,3.5084,0.0004719390006982
2026-06-11,Piotr Trochowski,Germany,4.127643753446279e-05,5.2276,0.0004714651912937
2026-06-11,Taylor Twellman,United States,7.73265128867118e-05,4.2808,0.0004713093940098
2026-06-11,Radoslav Kováč,Czech Republic,9.693037309916212e-05,3.7328,0.0004706448248029
2026-06-11,Vahid Hashemian,Iran,6.832305485312488e-05,4.3988,0.0004685894774567
2026-06-11,Freddy Grisales,Colombia,4.5388182946656176e-05,5.1298,0.0004671679531754
2026-06-11,Lomana LuaLua,DR Congo,0.0001293359597935,3.5596,0.0004649948811608
2026-06-11,Roberto Brown,Panama,8.872991280630901e-05,3.7,0.0004633547763548
2026-06-11,Lito,Cape Verde,0.0001264843316668,3.392,0.0004612499706385
2026-06-11,Jesús Arellano,Mexico,6.543265932120295e-05,4.7836,0.0004577914265556
2026-06-11,Vaniel Sirin,Haiti,0.0001364563984625,3.2064,0.0004573139275428
2026-06-11,Fabrice Noël,Haiti,0.0001360682486754,3.2064,0.0004560130995448
2026-06-11,Simon Rolfes,Germany,3.977587873674281e-05,5.2276,0.0004543256006974
2026-06-11,Nelson Cuevas,Paraguay,9.928542585270494e-05,3.8496,0.0004532283781061
2026-06-11,Nigel de Jong,Netherlands,4.2868350431353786e-05,5.0316,0.0004512431948323
2026-06-11,Josip Skoko,Australia,7.167852513584207e-05,4.2312,0.0004509588934708
2026-06-11,Benni McCarthy,South Africa,0.000109528890805,3.657,0.0004498571452789
2026-06-11,Haykel Guemamdia,Tunisia,0.0001052755765238,3.709,0.0004470023690633
2026-06-11,Erik Hagen,Norway,6.344325296137213e-05,4.164,0.0004469786242859
